Key,Description,Standard,LT,DE
SAY.flowchart.69.Head-Counsellor,,"""How dare you... That's it, you are done here. Pack you stuff up and leave them premises!""","Kaip tu drįsti ... Štai ir viskas, jūs padaryti čia. Pakuotėje galite stuff up ir palikti juos patalpas!","Ihre Auswahl: {i} „Sie waren zu sein idiotisch so dass ich die auseinander zu zwingen, entschieden“ {/ i} Sie 0 von 3 Punkten erhielt.."
SAY.flowchart.68.,,*YOU HAVE BEEN FIRED*,* JUS APKADINĖ *,"„Wie Sie es wagen ... Das ist es, dass Sie hier fertig sind. Packen Sie stopfen Sie und lassen Sie sie Räume!“"
SAY.flowchart.67.,,You finished with a total of {b}{$MyFloat}{/b} out of {b}{$TotalFloat}{/b} points.,Jūs baigė su viso {b}{$MyFloat}{/b} iš {b}{$TotalFloat}{/b} kiekis.,* SIE WURDEN GEFEUERT *
SAY.flowchart.80.,,You selected: {i}Run over to the campers and yell at them to get off one another.{/i} You recieved {b}{$MyFloat}{/b} out of 3 points.,Pasirinkote:. {i}Suvažinėti į stovyklautojų ir klykauti ne jų išlipti vienas kitą{/i} Gavote {b}{$MyFloat}{/b} iš 3 taškų.,Sie fertig mit insgesamt {b} {$ MyFloat} {/ b} von {b} {$ TotalFloat} {/ b} Punkte.
SAY.flowchart.84.,,The campers stop fighting and become silent.,Stovyklautojai sustabdyti kovos ir tapo tyli.,Ihre Auswahl:. {I} auf die Camper laufen über und sie schreien einander wegzug {/ i} Sie erhielt {b} {$ MyFloat} {/ b} von 3 Punkten.
SAY.flowchart.83.,,"After the room becomes silent, they sit down on the chairs and face you.","Po kambarys tampa tyli, jie atsisėsti ant kėdės ir veido jums.",Die Camper aufhören zu kämpfen und verstummen.
SAY.flowchart.82.,,You need to get to the bottom of the situation so you decide to speak to them individually. Who do you speak to first?,"Jums reikia patekti į situaciją apačioje, todėl jūs nusprendėte kalbėti jų atskirai. Kas jums kalbėti pirmiausia?","Nachdem der Raum still wird, sitzen sie auf den Stühlen, und Sie stellen."
MENU.flowchart.90,,"Camper 1: Who is short boy with glasses, and always called names and picked on.","Kemperis 1: Kas yra trumpas berniukas su akiniais, ir visada vadinamas vardus ir pakėlė ant.","Sie müssen auf den Boden der Situation zu bekommen, so dass Sie, um sie einzeln zu sprechen entscheiden. Wen sprechen Sie zuerst?"
MENU.flowchart.91,,"Camper 2: Who is one of the cool kids, who hangs around in groups.","Kemperis 2: Kas yra vienas iš įdomių vaikams, kurie kabo aplink grupes.",Camper 1: Wer ist kurz Junge mit Brille und immer Namen genannt und nahm an.
SAY.flowchart.85.,,You selected: {i}Calmly try diffuse the situation and try seperate them peacefully.{/i} You recieved {b}{$MyFloat}{/b} points.,Pasirinkote:. {i} Ramiai pabandyti difuzinis situaciją ir bandyti Atskiroje juos taikiai {/i} Gavote {b}{$MyFloat}{/b} taškų.,"Camper 2: Wer eines der coolen Kinder ist, die in Gruppen hängen."
SAY.flowchart.87.,,"They turn to look your way, and calmly sit down to listen to you help figure out the arguement.","Jos savo ruožtu ieškoti savo kelią, ir ramiai susėsti klausytis galite padėti išsiaiškinti arguement.","Ihre Auswahl:. {I} in aller Ruhe die Situation versuchen, diffuse und versuchen seperate sie friedlich {/ i} Sie erhielt {b} {$ MyFloat} {/ b} Punkte."
SAY.flowchart.86.,,You need to get to the bottom of the situation so you decide to speak to them individually. Who do you speak to first?,"Jums reikia patekti į situaciją apačioje, todėl jūs nusprendėte kalbėti jų atskirai. Kas jums kalbėti pirmiausia?","Sie drehen Sie Ihren Weg zu suchen, und ruhig hinsetzen, um Ihnen helfen herauszufinden, die arguement zu hören."
MENU.flowchart.88,,"Camper 1: Who is short boy with glasses, and always called names and picked on.","Kemperis 1: Kas yra trumpas berniukas su akiniais, ir visada vadinamas vardus ir pakėlė ant.","Sie müssen auf den Boden der Situation zu bekommen, so dass Sie, um sie einzeln zu sprechen entscheiden. Wen sprechen Sie zuerst?"
MENU.flowchart.89,,"Camper 2: Who is one of the cool kids, who hangs around in groups.","Kemperis 2: Kas yra vienas iš įdomių vaikams, kurie kabo aplink grupes.",Camper 1: Wer ist kurz Junge mit Brille und immer Namen genannt und nahm an.
SAY.flowchart.96.,,"You selected Camper 1 who is classified as a 'short boy with glasses, who is always called names and picked on'.","Pasirinkote Kemperis 1, kuris yra klasifikuojamas kaip ""trumpą berniukas su akiniais, kuris visada ragino vardus ir pakėlė ant '.","Camper 2: Wer eines der coolen Kinder ist, die in Gruppen hängen."
SAY.flowchart.98.,,"You ask the camper, ""What happened, why are you yelling at each other?"".","Jūs klausiate kemperio: ”Kas nutiko, kodėl jūs šaukiate vienas kitam?“.","Ihre Auswahl Camper 1, die als ‚kurzer Junge mit Brille, die immer Namen und gehänselt genannt wird‘ eingestuft wird."
SAY.flowchart.97.Boy with Glasses,,"Camper 1 responds ""He stole my playing cards and I want them back"".","Kemperis 1 reaguoja ""Jis pavogė mano žaidimui skirtas kortas ir aš noriu juos atgal"".",
MENU.flowchart.94,,Talk to Camper 2,Pasitarkite su Camper 2,"Camper 1 antwortet „Er stahl meine Spielkarten, und ich will sie zurück“."
SAY.flowchart.99.,,"You selected Camper 2 who is classified as one of the cool kids, who hangs around in groups.","Pasirinkote Kemperis 2, kuris yra klasifikuojamas kaip vienas cool vaikams, kurie kabo aplink grupes.",Sprechen Sie mit Camper 2
SAY.flowchart.101.,,"You ask the camper, ""What happened, why are you yelling at each other?"".","Jūs klausiate kemperio: “Kas nutiko, kodėl jūs šaukiate vienas kitam?“.","Ihre Auswahl Camper 2, die als eine der coolen Kinder eingestuft, die in Gruppen hängen."
SAY.flowchart.100.Mean Kid,,"Camper 2 yells ""He's claiming I stole his dumb cards which I didn't!"".","Kemperis 2 šaukia ""Jis teigia, Aš pavogė jo kvailas korteles, kurios aš ne!"".",
MENU.flowchart.95,,Talk to Camper 2,Pasitarkite su Camper 2,"Camper 2 brüllt „Er behauptet, ich seine stummen Karten gestohlen, die ich nicht!“."
SAY.flowchart.102.,,"You selected Camper 2 who is classified as one of the cool kids, who hangs around in groups.","Pasirinkote Kemperis 2, kuris yra klasifikuojamas kaip vienas cool vaikams, kurie kabo aplink grupes.",Sprechen Sie mit Camper 2
SAY.flowchart.105.,,"You ask, ""Did you hide his playing cards?"".",Jūs klausiate: “Ar paslėpėte jo žaidimo kortas?“.,"Ihre Auswahl Camper 2, die als eine der coolen Kinder eingestuft, die in Gruppen hängen."
SAY.flowchart.104.Mean Kid,,"Camper 2 responds, ""No he is just being a big baby! It is probably under his bed or something!"".","Kemperis 2 reaguoja, ""Ne jis tiesiog yra didelis kūdikis! Tai tikriausiai pagal savo lovoje ar kažką!"".",
SAY.flowchart.103.,,"You respond with, ""ok let's all talk about it"".","Jūs atsakyti, ""OK tegul visi apie tai kalbėti.""","Camper 2 antwortet: „Nein, er ist einfach nur ein großes Baby! Es ist wahrscheinlich unter seinem Bett oder etwas!“."
MENU.flowchart.106,,Talk with each other,Pasitarkite su kitu,Sie reagieren mit „ok Lassen Sie uns alle darüber reden“.
SAY.flowchart.107.,,"You selected Camper 2 who is classified as a 'short boy with glasses, who is always called names and picked on'.","Pasirinkote Kemperis 2, kuris yra klasifikuojamas kaip ""trumpą berniukas su akiniais, kuris visada ragino vardus ir pakėlė ant'.",Sprecht miteinander
SAY.flowchart.108.,,"You ask, ""What happened?""","Jūs klausiate: ""Kas nutiko?""","Ihre Auswahl Camper 2, die als ‚kurzer Junge mit Brille, die immer Namen und gehänselt genannt wird‘ eingestuft wird."
SAY.flowchart.109.Boy with Glasses,,"Camper 1 responds ""He stole my playing cards and I want them back""","Kemperis 1 reaguoja ""Jis pavogė mano žaidimui skirtas kortas ir aš noriu juos atgal""",
SAY.flowchart.110.,,"You respond with, ""ok let's all talk about it"".","Jūs atsakyti, ""OK tegul visi apie tai kalbėti.""","Camper 1 antwortet „Er stahl meine Spielkarten, und ich will sie zurück“"
MENU.flowchart.111,,Talk with each other,Pasitarkite su kitu,Sie reagieren mit „ok Lassen Sie uns alle darüber reden“.
SAY.flowchart.122.,,Where do you check?,Kur jūs patikrinti?,Sprecht miteinander
MENU.flowchart.123,,Camper 1's Area,Kemperis 1 ploto,Wo überprüfen Sie?
MENU.flowchart.125,,Camper 2's Area,Kemperis 2 ploto,Camper 1 Zone für
MENU.flowchart.124,,Commune area,Savivaldybė plotas,Camper 2-Umgebungs
SAY.flowchart.119.,,You have reached your 15 second time limit.,Jūs pasiekėte savo 15 sekundžių laiko limitą.,Gemeinde Bereich
SAY.flowchart.129.,,As you lift up Camper 1's bed you find the cards!,Kaip jūs pakelkite Kemperis 1 lovoje radote korteles!,Sie haben Ihr 15 Sekunden Zeitlimit erreicht.
SAY.flowchart.131.,,Well done! You solved where the cards were and earned 2 points,Šauniai padirbėta! Jūs išspręsta kur kortelės buvo ir uždirbo 2 taškus,Wie Sie Camper 1 Bett heben Sie die Karten finden!
SAY.flowchart.130.,,You finished with a total of {b}{$MyFloat}{/b} out of {b}{$TotalFloat}{/b} points.,Jūs baigė su viso {b}{$MyFloat}{/b} iš {b}{$TotalFloat}{/b} kiekis.,"Gut gemacht! Sie gelöst, wo die Karten waren und hat 2 Punkte"
SAY.flowchart.135.,,No playing cards were found here.,čia Nerastas kortos.,Sie fertig mit insgesamt {b} {$ MyFloat} {/ b} von {b} {$ TotalFloat} {/ b} Punkte.
SAY.flowchart.137.,,Camper 2's bed is empty.,Kemperis 2 lovelė yra tuščias.,Keine Spielkarten wurden hier gefunden.
SAY.flowchart.149.,,Select Language,,
MENU.flowchart.146,,1. English,,
MENU.flowchart.148,,2. Lithuanian,,
MENU.flowchart.147,,3. German,,
CHARACTER.Head-Counsellor,,Head-Counsellor,Vyriausiasis patarėjas,Camper 2 Bett ist leer.
CHARACTER.Nurse,,Nurse,Slaugytoja,
CHARACTER.Boy with Glasses,,Boy with Glasses,Berniukas su akiniais,
CHARACTER.Mean Kid,,Mean Kid,Vidutinis vaikas,
