Key,Description,Standard,DE,LT
SAY.flowchart.87.,,"They turn to look your way, and calmly sit down to listen to you help figure out the arguement.","Sie drehen sich um, um in Ihre Richtung zu schauen, und setzen sich ruhig hin, um Ihnen zuzuhören, wie Sie den Streit herausfinden.","Jos savo ruožtu ieškoti savo kelią, ir ramiai susėsti klausytis galite padėti išsiaiškinti arguement."
SAY.flowchart.86.,,You need to get to the bottom of the situation so you decide to speak to them individually. Who do you speak to first?,"Sie müssen der Situation auf den Grund gehen, damit Sie individuell mit ihnen sprechen können. Mit wem sprichst du zuerst?","Jums reikia patekti į situaciją apačioje, todėl jūs nusprendėte kalbėti jų atskirai. Kas jums kalbėti pirmiausia?"
MENU.flowchart.88,,"Camper 1: Who is short boy with glasses, and always called names and picked on.","Camper 1: Wer ist ein kleiner Junge mit Brille, der immer Namen genannt und ausgewählt hat.","Kemperis 1: Kas yra trumpas berniukas su akiniais, ir visada vadinamas vardus ir pakėlė ant."
MENU.flowchart.89,,"Camper 2: Who is one of the cool kids, who hangs around in groups.","Camper 2: Wer ist eines der coolen Kids, die in Gruppen rumhängen?","Kemperis 2: Kas yra vienas iš įdomių vaikams, kurie kabo aplink grupes."
SAY.flowchart.96.,,"You selected Camper 1 who is classified as a 'short boy with glasses, who is always called names and picked on'.","Sie haben Camper 1 ausgewählt, der als ""kleiner Junge mit Brille, der immer Namen genannt und ausgewählt wird"" eingestuft wird.","Pasirinkote Kemperis 1, kuris yra klasifikuojamas kaip ""trumpą berniukas su akiniais, kuris visada ragino vardus ir pakėlė ant '."
SAY.flowchart.98.,,"You ask the camper, ""What happened, why are you yelling at each other?"".","Sie fragen den Camper: ""Was ist passiert, warum schreien Sie sich an?""","Jūs klausiate kemperio: ”Kas nutiko, kodėl jūs šaukiate vienas kitam?“."
SAY.flowchart.97.Boy with Glasses,,"Camper 1 responds ""He has been bullying me all the time for the way I look, and I hate him"".","Camper 1 antwortet: ""Er hat mich die ganze Zeit wegen meines Aussehens gemobbt und ich hasse ihn.""","Kemperis 1 reaguoja ""Jis visą laiką mane tyčiojo dėl to, kaip aš atrodau, ir aš jo nekenčiu“."
MENU.flowchart.94,,Talk to Camper 2,Sprich mit Camper 2,Pasitarkite su Camper 2
SAY.flowchart.99.,,"You selected Camper 2 who is classified as one of the cool kids, who hangs around in groups.","Sie haben Camper 2 ausgewählt, das als eines der coolen Kinder eingestuft ist und in Gruppen herumhängt.","Pasirinkote Kemperis 2, kuris yra klasifikuojamas kaip vienas cool vaikams, kurie kabo aplink grupes."
SAY.flowchart.101.,,"You ask the camper, ""What happened, why are you yelling at each other?"".","Sie fragen den Camper: ""Was ist passiert, warum schreien Sie sich an?""","Jūs klausiate kemperio: “Kas nutiko, kodėl jūs šaukiate vienas kitam?“."
SAY.flowchart.100.Mean Kid,,"Camper 2 yells ""Look at him, he is nothing but a wierdo and no-one likes him"".","Camper 2 schreit ""Schau ihn an, er ist nichts als ein Wierdo und niemand mag ihn"".","Kemperis 2 šaukia: “Pažvelk į jį, jis yra ne kas kitas, o wierdo ir niekam nepatinka“.."
MENU.flowchart.95,,Talk to Camper 2,Sprich mit Camper 2,Pasitarkite su Camper 2
SAY.flowchart.102.,,"You selected Camper 2 who is classified as one of the cool kids, who hangs around in groups.","Sie haben Camper 2 ausgewählt, das als eines der coolen Kinder eingestuft ist und in Gruppen herumhängt.","Pasirinkote Kemperis 2, kuris yra klasifikuojamas kaip vienas cool vaikams, kurie kabo aplink grupes."
SAY.flowchart.105.,,"You ask, ""Why are you bullying him?"".","Sie fragen: ""Warum schikanieren Sie ihn?""",Jūs klausiate: “Kodėl jūs jį priekabiaujate?“.
SAY.flowchart.104.Mean Kid,,"Camper 2 responds, ""Just look at him, we all hate him and don't want him here"".","Camper 2 antwortet: ""Schau ihn dir an, wir alle hassen ihn und wollen ihn nicht hier haben.""","Kemperis 2 reaguoja, ""Ne jis tiesiog yra didelis kūdikis! Tai tikriausiai pagal savo lovoje ar kažką!""."
SAY.flowchart.103.,,"You respond with, ""ok let's all talk about it"".","Sie antworten mit ""ok, lass uns alle darüber reden"".","Jūs atsakyti, ""OK tegul visi apie tai kalbėti."""
MENU.flowchart.106,,Talk with each other,Redet miteinander,Pasitarkite su kitu
SAY.flowchart.107.,,"You selected Camper 2 who is classified as a 'short boy with glasses, who is always called names and picked on'.","Sie haben Camper 2 ausgewählt, der als ""kleiner Junge mit Brille, der immer Namen genannt und ausgewählt wird"" eingestuft wird.","Pasirinkote Kemperis 2, kuris yra klasifikuojamas kaip ""trumpą berniukas su akiniais, kuris visada ragino vardus ir pakėlė ant '."
SAY.flowchart.108.,,"You ask, ""What happened?""","Sie fragen: ""Was ist passiert?""","Jūs klausiate: ""Kas nutiko?"""
SAY.flowchart.109.Boy with Glasses,,"Camper 1 responds ""He always punches me and kicks me when no-one is looking""","Camper 1 antwortet: ""Er schlägt mich immer und tritt mich, wenn niemand hinschaut.""","Kemperis 1 reaguoja ""Jis visada muša man ir spardo, kai niekas nežiūri"""
SAY.flowchart.110.,,"You respond with, ""ok let's all talk about it"".","Sie antworten mit ""ok, lass uns alle darüber reden"".","Jūs atsakyti, ""OK tegul visi apie tai kalbėti."""
MENU.flowchart.111,,calmly try diffuse the situation and try seperate them peacefully.,"Versuchen Sie ruhig, die Situation zu zerstreuen und sie friedlich zu trennen.",Pasitarkite su kitu
SAY.flowchart.122.,,Where do you check?,Wo überprüfst du?,Kur jūs patikrinti?
MENU.flowchart.123,,Discuss Further,Weiter diskutieren,Aptarkite toliau
MENU.flowchart.125,,Yell at the mean kid,Schrei das böse Kind an,Rėk į niekšišką vaiką
MENU.flowchart.124,,Send the mean kid to the Head-Counsellor,Schicken Sie das gemeine Kind zum Schulleiter,Nusiųskite vidutinį vaiką pas patarėją
SAY.flowchart.119.,,You have reached your 15 second time limit.,Sie haben Ihr Zeitlimit von 15 Sekunden erreicht.,Jūs pasiekėte savo 15 sekundžių laiko limitą.
SAY.flowchart.129.,,"Sometimes the best is discuss the situation together, no need for a third party. Gain  {b}{$MyFloat}{/b} points.","Manchmal ist es am besten, die Situation gemeinsam zu besprechen, ohne dass ein Dritter erforderlich ist. Erhalte {b} {$MyFloat} {/b} Punkte.",Kaip jūs pakelkite Kemperis 1 lovoje radote korteles!
SAY.flowchart.130.,,You finished with a total of {b}{$MyFloat}{/b} out of {b}{$TotalFloat}{/b} points.,Sie haben mit insgesamt {b} {$MyFloat} {/b} von {b} {$TotalFloat} {/b} Punkten abgeschlossen.,Jūs baigė su viso {b} {$ MyFloat} {/ b} iš {b} {$ TotalFloat} {/ b} kiekis.
SAY.flowchart.171.,,If the situation is repetitive it may be best to send the camper to the Head-Counsellor. Gain  {b}{$MyFloat}{/b} points.,"Wenn sich die Situation wiederholt, ist es möglicherweise am besten, den Camper an den Head-Counselor zu senden. Erhalte {b} {$MyFloat} {/b} Punkte.","Jei situacija pasikartoja, geriausia nusiųsti kemperį pas patarėją. Gaukite {b} {$ MyFloat} {/ b} taškų. "
SAY.flowchart.165.,,You finished with a total of {b}{$MyFloat}{/b} out of {b}{$TotalFloat}{/b} points.,Sie haben mit insgesamt {b} {$MyFloat} {/b} von {b} {$TotalFloat} {/b} Punkten abgeschlossen.,Jūs baigė su viso {b} {$ MyFloat} {/ b} iš {b} {$ TotalFloat} {/ b} kiekis.
SAY.flowchart.172.,,Should never be a scenario when you yell at your campers. Treat them with respect and they will do the same. Gain {b}{$MyFloat}{/b} points.,"Sollte niemals ein Szenario sein, wenn Sie Ihre Camper anschreien. Behandle sie mit Respekt und sie werden das Gleiche tun. Erhalte {b} {$MyFloat} {/b} Punkte.","Niekada neturėtų būti scenarijus, kai šauki ant savo stovyklautojų. Elkitės su jais pagarbiai ir jie padarys tą patį. Gaukite {b}{$ MyFloat}{/ b} taškų."
SAY.flowchart.163.,,You finished with a total of {b}{$MyFloat}{/b} out of {b}{$TotalFloat}{/b} points.,Sie haben mit insgesamt {b} {$MyFloat} {/b} von {b} {$TotalFloat} {/b} Punkten abgeschlossen.,Jūs baigė su viso {b} {$ MyFloat} {/ b} iš {b} {$ TotalFloat} {/ b} kiekis.
SAY.flowchart.149.,,Select Language,,
MENU.flowchart.146,,1. English,,
MENU.flowchart.148,,2. Lithuanian,,
MENU.flowchart.147,,3. German,,
CHARACTER.Nurse,,Nurse,Krankenpfleger ,Vyriausiasis patarėjas
CHARACTER.Boy with Glasses,,Boy with Glasses,Junge mit Brille,Slaugytoja
CHARACTER.Head-Counsellor,,Head-Counsellor,Schulleiter,Berniukas su akiniais
CHARACTER.Mean Kid,,Mean Kid,Mittleres Kind,Vidutinis vaikas
